"cname","cowcode","year","lvaw_garriga"
"Jamaica",51,1990,0.3830139
"Jamaica",51,1991,0.3830139
"Jamaica",51,1992,0.3830139
"Jamaica",51,1993,0.3830139
"Jamaica",51,1994,0.3830139
"Jamaica",51,1995,0.3830139
"Jamaica",51,1996,0.3830139
"Jamaica",51,1997,0.3830139
"Jamaica",51,1998,0.3830139
"Jamaica",51,1999,0.3830139
"Jamaica",51,2000,0.3830139
"Jamaica",51,2001,0.3830139
"Jamaica",51,2002,0.3830139
"Jamaica",51,2003,0.3830139
"Jamaica",51,2004,0.3830139
"Jamaica",51,2005,0.3830139
"Jamaica",51,2006,0.3830139
"Jamaica",51,2007,0.3830139
"Jamaica",51,2008,0.3830139
"Jamaica",51,2009,0.3830139
"Jamaica",51,2010,0.3830139
"Jamaica",51,2011,0.3830139
"Jamaica",51,2012,0.3830139
"Trinidad and Tobago",52,1990,0.431375
"Trinidad and Tobago",52,1991,0.431375
"Trinidad and Tobago",52,1992,0.431375
"Trinidad and Tobago",52,1993,0.431375
"Trinidad and Tobago",52,1994,0.431375
"Trinidad and Tobago",52,1995,0.443875
"Trinidad and Tobago",52,1996,0.443875
"Trinidad and Tobago",52,1997,0.443875
"Trinidad and Tobago",52,1998,0.443875
"Trinidad and Tobago",52,1999,0.443875
"Trinidad and Tobago",52,2000,0.443875
"Trinidad and Tobago",52,2001,0.443875
"Trinidad and Tobago",52,2002,0.443875
"Trinidad and Tobago",52,2003,0.443875
"Trinidad and Tobago",52,2004,0.443875
"Trinidad and Tobago",52,2005,0.443875
"Trinidad and Tobago",52,2006,0.443875
"Trinidad and Tobago",52,2007,0.443875
"Trinidad and Tobago",52,2008,0.443875
"Trinidad and Tobago",52,2009,0.443875
"Trinidad and Tobago",52,2010,0.443875
"Trinidad and Tobago",52,2011,0.443875
"Trinidad and Tobago",52,2012,0.443875
"Barbados",53,1990,0.38598028
"Barbados",53,1991,0.38598028
"Barbados",53,1992,0.38598028
"Barbados",53,1993,0.38598028
"Barbados",53,1994,0.38598028
"Barbados",53,1995,0.38598028
"Barbados",53,1996,0.38598028
"Barbados",53,1997,0.38598028
"Barbados",53,1998,0.41333553
"Barbados",53,1999,0.41333553
"Barbados",53,2000,0.41333553
"Barbados",53,2001,0.41333553
"Barbados",53,2002,0.41333553
"Barbados",53,2003,0.41333553
"Barbados",53,2004,0.41333553
"Barbados",53,2005,0.41333553
"Barbados",53,2006,0.41333553
"Barbados",53,2007,0.41333553
"Barbados",53,2008,0.41333553
"Barbados",53,2009,0.41333553
"Barbados",53,2010,0.41333553
"Barbados",53,2011,0.41333553
"Barbados",53,2012,0.41333553
"Dominica",54,1990,0.642375
"Dominica",54,1991,0.642375
"Dominica",54,1992,0.642375
"Dominica",54,1993,0.642375
"Dominica",54,1994,0.642375
"Dominica",54,1995,0.642375
"Dominica",54,1996,0.642375
"Dominica",54,1997,0.642375
"Dominica",54,1998,0.642375
"Dominica",54,1999,0.642375
"Dominica",54,2000,0.642375
"Dominica",54,2001,0.642375
"Dominica",54,2002,0.642375
"Dominica",54,2003,0.642375
"Dominica",54,2004,0.642375
"Dominica",54,2005,0.642375
"Dominica",54,2006,0.642375
"Dominica",54,2007,0.642375
"Dominica",54,2008,0.642375
"Dominica",54,2009,0.642375
"Dominica",54,2010,0.642375
"Dominica",54,2011,0.642375
"Dominica",54,2012,0.642375
"Grenada",55,1990,0.642375
"Grenada",55,1991,0.642375
"Grenada",55,1992,0.642375
"Grenada",55,1993,0.642375
"Grenada",55,1994,0.642375
"Grenada",55,1995,0.642375
"Grenada",55,1996,0.642375
"Grenada",55,1997,0.642375
"Grenada",55,1998,0.642375
"Grenada",55,1999,0.642375
"Grenada",55,2000,0.642375
"Grenada",55,2001,0.642375
"Grenada",55,2002,0.642375
"Grenada",55,2003,0.642375
"Grenada",55,2004,0.642375
"Grenada",55,2005,0.642375
"Grenada",55,2006,0.642375
"Grenada",55,2007,0.642375
"Grenada",55,2008,0.642375
"Grenada",55,2009,0.642375
"Grenada",55,2010,0.642375
"Grenada",55,2011,0.642375
"Grenada",55,2012,0.642375
"Saint Lucia",56,1990,0.642375
"Saint Lucia",56,1991,0.642375
"Saint Lucia",56,1992,0.642375
"Saint Lucia",56,1993,0.642375
"Saint Lucia",56,1994,0.642375
"Saint Lucia",56,1995,0.642375
"Saint Lucia",56,1996,0.642375
"Saint Lucia",56,1997,0.642375
"Saint Lucia",56,1998,0.642375
"Saint Lucia",56,1999,0.642375
"Saint Lucia",56,2000,0.642375
"Saint Lucia",56,2001,0.642375
"Saint Lucia",56,2002,0.642375
"Saint Lucia",56,2003,0.642375
"Saint Lucia",56,2004,0.642375
"Saint Lucia",56,2005,0.642375
"Saint Lucia",56,2006,0.642375
"Saint Lucia",56,2007,0.642375
"Saint Lucia",56,2008,0.642375
"Saint Lucia",56,2009,0.642375
"Saint Lucia",56,2010,0.642375
"Saint Lucia",56,2011,0.642375
"Saint Lucia",56,2012,0.642375
"St. Vincent and the Grenadines",57,1990,0.642375
"St. Vincent and the Grenadines",57,1991,0.642375
"St. Vincent and the Grenadines",57,1992,0.642375
"St. Vincent and the Grenadines",57,1993,0.642375
"St. Vincent and the Grenadines",57,1994,0.642375
"St. Vincent and the Grenadines",57,1995,0.642375
"St. Vincent and the Grenadines",57,1996,0.642375
"St. Vincent and the Grenadines",57,1997,0.642375
"St. Vincent and the Grenadines",57,1998,0.642375
"St. Vincent and the Grenadines",57,1999,0.642375
"St. Vincent and the Grenadines",57,2000,0.642375
"St. Vincent and the Grenadines",57,2001,0.642375
"St. Vincent and the Grenadines",57,2002,0.642375
"St. Vincent and the Grenadines",57,2003,0.642375
"St. Vincent and the Grenadines",57,2004,0.642375
"St. Vincent and the Grenadines",57,2005,0.642375
"St. Vincent and the Grenadines",57,2006,0.642375
"St. Vincent and the Grenadines",57,2007,0.642375
"St. Vincent and the Grenadines",57,2008,0.642375
"St. Vincent and the Grenadines",57,2009,0.642375
"St. Vincent and the Grenadines",57,2010,0.642375
"St. Vincent and the Grenadines",57,2011,0.642375
"St. Vincent and the Grenadines",57,2012,0.642375
"Antigua & Barbuda",58,1990,0.642375
"Antigua & Barbuda",58,1991,0.642375
"Antigua & Barbuda",58,1992,0.642375
"Antigua & Barbuda",58,1993,0.642375
"Antigua & Barbuda",58,1994,0.642375
"Antigua & Barbuda",58,1995,0.642375
"Antigua & Barbuda",58,1996,0.642375
"Antigua & Barbuda",58,1997,0.642375
"Antigua & Barbuda",58,1998,0.642375
"Antigua & Barbuda",58,1999,0.642375
"Antigua & Barbuda",58,2000,0.642375
"Antigua & Barbuda",58,2001,0.642375
"Antigua & Barbuda",58,2002,0.642375
"Antigua & Barbuda",58,2003,0.642375
"Antigua & Barbuda",58,2004,0.642375
"Antigua & Barbuda",58,2005,0.642375
"Antigua & Barbuda",58,2006,0.642375
"Antigua & Barbuda",58,2007,0.642375
"Antigua & Barbuda",58,2008,0.642375
"Antigua & Barbuda",58,2009,0.642375
"Antigua & Barbuda",58,2010,0.642375
"Antigua & Barbuda",58,2011,0.642375
"Antigua & Barbuda",58,2012,0.642375
"St. Kitts and Nevis",60,1990,0.642375
"St. Kitts and Nevis",60,1991,0.642375
"St. Kitts and Nevis",60,1992,0.642375
"St. Kitts and Nevis",60,1993,0.642375
"St. Kitts and Nevis",60,1994,0.642375
"St. Kitts and Nevis",60,1995,0.642375
"St. Kitts and Nevis",60,1996,0.642375
"St. Kitts and Nevis",60,1997,0.642375
"St. Kitts and Nevis",60,1998,0.642375
"St. Kitts and Nevis",60,1999,0.642375
"St. Kitts and Nevis",60,2000,0.642375
"St. Kitts and Nevis",60,2001,0.642375
"St. Kitts and Nevis",60,2002,0.642375
"St. Kitts and Nevis",60,2003,0.642375
"St. Kitts and Nevis",60,2004,0.642375
"St. Kitts and Nevis",60,2005,0.642375
"St. Kitts and Nevis",60,2006,0.642375
"St. Kitts and Nevis",60,2007,0.642375
"St. Kitts and Nevis",60,2008,0.642375
"St. Kitts and Nevis",60,2009,0.642375
"St. Kitts and Nevis",60,2010,0.642375
"St. Kitts and Nevis",60,2011,0.642375
"St. Kitts and Nevis",60,2012,0.642375
"Mexico",70,1990,0.39287502
"Mexico",70,1991,0.39287502
"Mexico",70,1992,0.39287502
"Mexico",70,1993,0.63825
"Mexico",70,1994,0.63825
"Mexico",70,1995,0.63825
"Mexico",70,1996,0.63825
"Mexico",70,1997,0.63825
"Mexico",70,1998,0.63825
"Mexico",70,1999,0.63825
"Mexico",70,2000,0.63825
"Mexico",70,2001,0.63825
"Mexico",70,2002,0.63825
"Mexico",70,2003,0.63825
"Mexico",70,2004,0.63825
"Mexico",70,2005,0.63825
"Mexico",70,2006,0.63825
"Mexico",70,2007,0.63825
"Mexico",70,2008,0.63825
"Mexico",70,2009,0.63825
"Mexico",70,2010,0.63825
"Mexico",70,2011,0.63825
"Mexico",70,2012,0.63825
"Belize",80,1990,0.508
"Belize",80,1991,0.508
"Belize",80,1992,0.508
"Belize",80,1993,0.508
"Belize",80,1994,0.508
"Belize",80,1995,0.508
"Belize",80,1996,0.508
"Belize",80,1997,0.508
"Belize",80,1998,0.508
"Belize",80,1999,0.508
"Belize",80,2000,0.508
"Belize",80,2001,0.508
"Belize",80,2002,0.508
"Belize",80,2003,0.508
"Belize",80,2004,0.508
"Belize",80,2005,0.508
"Belize",80,2006,0.508
"Belize",80,2007,0.508
"Belize",80,2008,0.508
"Belize",80,2009,0.508
"Belize",80,2010,0.593
"Belize",80,2011,0.593
"Belize",80,2012,0.593
"Guatemala",90,1990,0.6835
"Guatemala",90,1991,0.6835
"Guatemala",90,1992,0.6835
"Guatemala",90,1993,0.6835
"Guatemala",90,1994,0.6835
"Guatemala",90,1995,0.6835
"Guatemala",90,1996,0.6835
"Guatemala",90,1997,0.6835
"Guatemala",90,1998,0.6835
"Guatemala",90,1999,0.6835
"Guatemala",90,2000,0.6835
"Guatemala",90,2001,0.6835
"Guatemala",90,2002,0.7825
"Guatemala",90,2003,0.7825
"Guatemala",90,2004,0.7825
"Guatemala",90,2005,0.7825
"Guatemala",90,2006,0.7825
"Guatemala",90,2007,0.7825
"Guatemala",90,2008,0.7825
"Guatemala",90,2009,0.7825
"Guatemala",90,2010,0.7825
"Guatemala",90,2011,0.7825
"Guatemala",90,2012,0.7825
"Honduras",91,1990,0.364125
"Honduras",91,1991,0.364125
"Honduras",91,1992,0.364125
"Honduras",91,1993,0.364125
"Honduras",91,1994,0.364125
"Honduras",91,1995,0.364125
"Honduras",91,1996,0.671
"Honduras",91,1997,0.671
"Honduras",91,1998,0.671
"Honduras",91,1999,0.671
"Honduras",91,2000,0.671
"Honduras",91,2001,0.671
"Honduras",91,2002,0.671
"Honduras",91,2003,0.671
"Honduras",91,2004,0.671
"Honduras",91,2005,0.671
"Honduras",91,2006,0.671
"Honduras",91,2007,0.671
"Honduras",91,2008,0.671
"Honduras",91,2009,0.671
"Honduras",91,2010,0.671
"Honduras",91,2011,0.671
"Honduras",91,2012,0.671
"El Salvador",92,1990,NA
"El Salvador",92,1991,0.34106252
"El Salvador",92,1992,0.34106252
"El Salvador",92,1993,0.34106252
"El Salvador",92,1994,0.34106252
"El Salvador",92,1995,0.34106252
"El Salvador",92,1996,0.34106252
"El Salvador",92,1997,0.34106252
"El Salvador",92,1998,0.34106252
"El Salvador",92,1999,0.34106252
"El Salvador",92,2000,0.7575625
"El Salvador",92,2001,0.7575625
"El Salvador",92,2002,0.7575625
"El Salvador",92,2003,0.7575625
"El Salvador",92,2004,0.7575625
"El Salvador",92,2005,0.7575625
"El Salvador",92,2006,0.7575625
"El Salvador",92,2007,0.7575625
"El Salvador",92,2008,0.7575625
"El Salvador",92,2009,0.7575625
"El Salvador",92,2010,0.7575625
"El Salvador",92,2011,0.7575625
"El Salvador",92,2012,0.7575625
"Nicaragua",93,1990,0.454
"Nicaragua",93,1991,0.454
"Nicaragua",93,1992,0.69675004
"Nicaragua",93,1993,0.69675004
"Nicaragua",93,1994,0.69675004
"Nicaragua",93,1995,0.69675004
"Nicaragua",93,1996,0.69675004
"Nicaragua",93,1997,0.69675004
"Nicaragua",93,1998,0.69675004
"Nicaragua",93,1999,0.72175
"Nicaragua",93,2000,0.72175
"Nicaragua",93,2001,0.72175
"Nicaragua",93,2002,0.72175
"Nicaragua",93,2003,0.72175
"Nicaragua",93,2004,0.72175
"Nicaragua",93,2005,0.72175
"Nicaragua",93,2006,0.72175
"Nicaragua",93,2007,0.72175
"Nicaragua",93,2008,0.72175
"Nicaragua",93,2009,0.72175
"Nicaragua",93,2010,0.69100004
"Nicaragua",93,2011,0.69100004
"Nicaragua",93,2012,0.69100004
"Costa Rica",94,1990,0.474
"Costa Rica",94,1991,0.474
"Costa Rica",94,1992,0.474
"Costa Rica",94,1993,0.474
"Costa Rica",94,1994,0.474
"Costa Rica",94,1995,0.73425
"Costa Rica",94,1996,0.73425
"Costa Rica",94,1997,0.73425
"Costa Rica",94,1998,0.73425
"Costa Rica",94,1999,0.73425
"Costa Rica",94,2000,0.73425
"Costa Rica",94,2001,0.73425
"Costa Rica",94,2002,0.73425
"Costa Rica",94,2003,0.73425
"Costa Rica",94,2004,0.73425
"Costa Rica",94,2005,0.73425
"Costa Rica",94,2006,0.73425
"Costa Rica",94,2007,0.73425
"Costa Rica",94,2008,0.73425
"Costa Rica",94,2009,0.73425
"Costa Rica",94,2010,0.73425
"Costa Rica",94,2011,0.73425
"Costa Rica",94,2012,0.73425
"Panama",95,1990,0.21762061
"Panama",95,1991,0.21762061
"Panama",95,1992,0.21762061
"Panama",95,1993,0.21762061
"Panama",95,1994,0.21762061
"Panama",95,1995,0.21762061
"Panama",95,1996,0.21762061
"Panama",95,1997,0.21762061
"Panama",95,1998,0.21762061
"Panama",95,1999,0.21762061
"Panama",95,2000,0.21762061
"Panama",95,2001,0.21762061
"Panama",95,2002,0.21762061
"Panama",95,2003,0.21762061
"Panama",95,2004,0.21762061
"Panama",95,2005,0.21762061
"Panama",95,2006,0.21762061
"Panama",95,2007,0.21762061
"Panama",95,2008,0.21762061
"Panama",95,2009,0.21762061
"Panama",95,2010,0.21762061
"Panama",95,2011,0.21762061
"Panama",95,2012,0.21762061
"Colombia",100,1990,0.26725
"Colombia",100,1991,0.26725
"Colombia",100,1992,0.69325
"Colombia",100,1993,0.69325
"Colombia",100,1994,0.69325
"Colombia",100,1995,0.69325
"Colombia",100,1996,0.69325
"Colombia",100,1997,0.69325
"Colombia",100,1998,0.69325
"Colombia",100,1999,0.69325
"Colombia",100,2000,0.69325
"Colombia",100,2001,0.69325
"Colombia",100,2002,0.69325
"Colombia",100,2003,0.69325
"Colombia",100,2004,0.69325
"Colombia",100,2005,0.69325
"Colombia",100,2006,0.69325
"Colombia",100,2007,0.69325
"Colombia",100,2008,0.69325
"Colombia",100,2009,0.69325
"Colombia",100,2010,0.69325
"Colombia",100,2011,0.69325
"Colombia",100,2012,0.69325
"Venezuela",101,1990,0.427125
"Venezuela",101,1991,0.427125
"Venezuela",101,1992,0.7270455
"Venezuela",101,1993,0.7270455
"Venezuela",101,1994,0.7270455
"Venezuela",101,1995,0.7270455
"Venezuela",101,1996,0.7270455
"Venezuela",101,1997,0.7270455
"Venezuela",101,1998,0.7270455
"Venezuela",101,1999,0.7870455
"Venezuela",101,2000,0.7870455
"Venezuela",101,2001,0.78104544
"Venezuela",101,2002,0.78104544
"Venezuela",101,2003,0.78104544
"Venezuela",101,2004,0.78104544
"Venezuela",101,2005,0.78104544
"Venezuela",101,2006,0.78104544
"Venezuela",101,2007,0.78104544
"Venezuela",101,2008,0.78104544
"Venezuela",101,2009,0.59922725
"Venezuela",101,2010,0.59922725
"Venezuela",101,2011,0.59922725
"Venezuela",101,2012,0.59922725
"Guyana",110,1990,NA
"Guyana",110,1991,NA
"Guyana",110,1992,NA
"Guyana",110,1993,NA
"Guyana",110,1994,NA
"Guyana",110,1995,0.52875
"Guyana",110,1996,0.52875
"Guyana",110,1997,0.52875
"Guyana",110,1998,0.73621213
"Guyana",110,1999,0.73621213
"Guyana",110,2000,0.73621213
"Guyana",110,2001,0.73621213
"Guyana",110,2002,0.73621213
"Guyana",110,2003,0.73621213
"Guyana",110,2004,0.63829166
"Guyana",110,2005,0.63829166
"Guyana",110,2006,0.63829166
"Guyana",110,2007,0.63829166
"Guyana",110,2008,0.63829166
"Guyana",110,2009,0.63829166
"Guyana",110,2010,0.63829166
"Guyana",110,2011,0.63829166
"Guyana",110,2012,0.63829166
"Suriname",115,1990,0.417125
"Suriname",115,1991,0.417125
"Suriname",115,1992,0.417125
"Suriname",115,1993,0.417125
"Suriname",115,1994,0.417125
"Suriname",115,1995,0.417125
"Suriname",115,1996,0.417125
"Suriname",115,1997,0.417125
"Suriname",115,1998,0.417125
"Suriname",115,1999,0.417125
"Suriname",115,2000,0.417125
"Suriname",115,2001,0.417125
"Suriname",115,2002,0.417125
"Suriname",115,2003,0.417125
"Suriname",115,2004,0.417125
"Suriname",115,2005,0.513875
"Suriname",115,2006,0.513875
"Suriname",115,2007,0.513875
"Suriname",115,2008,0.513875
"Suriname",115,2009,0.513875
"Suriname",115,2010,0.513875
"Suriname",115,2011,0.513875
"Suriname",115,2012,0.513875
"Ecuador",130,1990,NA
"Ecuador",130,1991,NA
"Ecuador",130,1992,0.8815
"Ecuador",130,1993,0.8815
"Ecuador",130,1994,0.8815
"Ecuador",130,1995,0.8815
"Ecuador",130,1996,0.8815
"Ecuador",130,1997,0.8815
"Ecuador",130,1998,0.8815
"Ecuador",130,1999,0.8815
"Ecuador",130,2000,0.8815
"Ecuador",130,2001,0.8815
"Ecuador",130,2002,0.8815
"Ecuador",130,2003,0.8815
"Ecuador",130,2004,0.8815
"Ecuador",130,2005,0.8815
"Ecuador",130,2006,0.8815
"Ecuador",130,2007,0.8815
"Ecuador",130,2008,0.4709375
"Ecuador",130,2009,0.4709375
"Ecuador",130,2010,0.4709375
"Ecuador",130,2011,0.4709375
"Ecuador",130,2012,0.4709375
"Peru",135,1990,0.431625
"Peru",135,1991,0.431625
"Peru",135,1992,0.79775
"Peru",135,1993,0.79775
"Peru",135,1994,0.79775
"Peru",135,1995,0.79775
"Peru",135,1996,0.79775
"Peru",135,1997,0.79775
"Peru",135,1998,0.79775
"Peru",135,1999,0.79775
"Peru",135,2000,0.79775
"Peru",135,2001,0.79775
"Peru",135,2002,0.79775
"Peru",135,2003,0.79775
"Peru",135,2004,0.79775
"Peru",135,2005,0.79775
"Peru",135,2006,0.79775
"Peru",135,2007,0.79775
"Peru",135,2008,0.79775
"Peru",135,2009,0.79775
"Peru",135,2010,0.79775
"Peru",135,2011,0.79775
"Peru",135,2012,0.79775
"Brazil",140,1990,0.2548816
"Brazil",140,1991,0.2548816
"Brazil",140,1992,0.2548816
"Brazil",140,1993,0.2548816
"Brazil",140,1994,0.2548816
"Brazil",140,1995,0.2548816
"Brazil",140,1996,0.2548816
"Brazil",140,1997,0.2548816
"Brazil",140,1998,0.2548816
"Brazil",140,1999,0.2548816
"Brazil",140,2000,0.2548816
"Brazil",140,2001,0.2548816
"Brazil",140,2002,0.2548816
"Brazil",140,2003,0.2548816
"Brazil",140,2004,0.2548816
"Brazil",140,2005,0.2548816
"Brazil",140,2006,0.2548816
"Brazil",140,2007,0.2548816
"Brazil",140,2008,0.2548816
"Brazil",140,2009,0.2548816
"Brazil",140,2010,0.2548816
"Brazil",140,2011,0.2548816
"Brazil",140,2012,0.2548816
"Bolivia",145,1990,0.30237502
"Bolivia",145,1991,0.30237502
"Bolivia",145,1992,0.30237502
"Bolivia",145,1993,0.30237502
"Bolivia",145,1994,0.30237502
"Bolivia",145,1995,0.7970263
"Bolivia",145,1996,0.7970263
"Bolivia",145,1997,0.7970263
"Bolivia",145,1998,0.7970263
"Bolivia",145,1999,0.7970263
"Bolivia",145,2000,0.7970263
"Bolivia",145,2001,0.7970263
"Bolivia",145,2002,0.7970263
"Bolivia",145,2003,0.7970263
"Bolivia",145,2004,0.7970263
"Bolivia",145,2005,0.7970263
"Bolivia",145,2006,0.7970263
"Bolivia",145,2007,0.7970263
"Bolivia",145,2008,0.7970263
"Bolivia",145,2009,0.7970263
"Bolivia",145,2010,0.7970263
"Bolivia",145,2011,0.7970263
"Bolivia",145,2012,0.7970263
"Paraguay",150,1990,0.37524998
"Paraguay",150,1991,0.37524998
"Paraguay",150,1992,0.37524998
"Paraguay",150,1993,0.37524998
"Paraguay",150,1994,0.37524998
"Paraguay",150,1995,0.617125
"Paraguay",150,1996,0.617125
"Paraguay",150,1997,0.617125
"Paraguay",150,1998,0.617125
"Paraguay",150,1999,0.617125
"Paraguay",150,2000,0.617125
"Paraguay",150,2001,0.617125
"Paraguay",150,2002,0.617125
"Paraguay",150,2003,0.617125
"Paraguay",150,2004,0.617125
"Paraguay",150,2005,0.617125
"Paraguay",150,2006,0.617125
"Paraguay",150,2007,0.617125
"Paraguay",150,2008,0.617125
"Paraguay",150,2009,0.617125
"Paraguay",150,2010,0.617125
"Paraguay",150,2011,0.617125
"Paraguay",150,2012,0.617125
"Chile",155,1990,0.819
"Chile",155,1991,0.819
"Chile",155,1992,0.819
"Chile",155,1993,0.819
"Chile",155,1994,0.819
"Chile",155,1995,0.819
"Chile",155,1996,0.819
"Chile",155,1997,0.819
"Chile",155,1998,0.819
"Chile",155,1999,0.819
"Chile",155,2000,0.819
"Chile",155,2001,0.819
"Chile",155,2002,0.819
"Chile",155,2003,0.819
"Chile",155,2004,0.819
"Chile",155,2005,0.819
"Chile",155,2006,0.819
"Chile",155,2007,0.819
"Chile",155,2008,0.819
"Chile",155,2009,0.819
"Chile",155,2010,0.819
"Chile",155,2011,0.819
"Chile",155,2012,0.819
"Argentina",160,1990,0.400125
"Argentina",160,1991,0.400125
"Argentina",160,1992,0.80255264
"Argentina",160,1993,0.80255264
"Argentina",160,1994,0.80255264
"Argentina",160,1995,0.80255264
"Argentina",160,1996,0.80255264
"Argentina",160,1997,0.80255264
"Argentina",160,1998,0.80255264
"Argentina",160,1999,0.80255264
"Argentina",160,2000,0.80255264
"Argentina",160,2001,0.80255264
"Argentina",160,2002,0.80255264
"Argentina",160,2003,0.79025
"Argentina",160,2004,0.79025
"Argentina",160,2005,0.79025
"Argentina",160,2006,0.79025
"Argentina",160,2007,0.79025
"Argentina",160,2008,0.79025
"Argentina",160,2009,0.79025
"Argentina",160,2010,0.79025
"Argentina",160,2011,0.79025
"Argentina",160,2012,0.76025
"Uruguay",165,1990,0.18175
"Uruguay",165,1991,0.18175
"Uruguay",165,1992,0.18175
"Uruguay",165,1993,0.18175
"Uruguay",165,1994,0.18175
"Uruguay",165,1995,0.71175003
"Uruguay",165,1996,0.71175003
"Uruguay",165,1997,0.58425003
"Uruguay",165,1998,0.58425003
"Uruguay",165,1999,0.58425003
"Uruguay",165,2000,0.58425003
"Uruguay",165,2001,0.58425003
"Uruguay",165,2002,0.58425003
"Uruguay",165,2003,0.58425003
"Uruguay",165,2004,0.58425003
"Uruguay",165,2005,0.58425003
"Uruguay",165,2006,0.58425003
"Uruguay",165,2007,0.58425003
"Uruguay",165,2008,0.599
"Uruguay",165,2009,0.599
"Uruguay",165,2010,0.6259912
